,ЗП,Ищет работу на должность:,"Город, переезд, командировки",Занятость,График,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы месяцев,Город,Готовность к переезду,Готовность к командировкам,Готовность к переезду1,Готовность к командировкам1
115,35000 руб.,Системный администратор,"Иваново (Ивановская область) , готов к переезду (Ярославль, Москва, Владимир) , не готов к командировкам",полная занятость,полный день,Сбербанк-Сервис,Старший инженер,07.05.2019 14:40,Имеется собственный автомобиль,неоконченное высшее,М,22,21.0,другие,True,False,True,True
185,80000 руб.,Технический специалист,"Солнечногорск , готов к переезду (Клин, Зеленоград) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, сменный график","""Ваш сервис""",Директор автосервиса,18.04.2019 10:05,Имеется собственный автомобиль,высшее,М,30,147.0,другие,True,False,True,True
198,25000 руб.,Системный администратор,"Туапсе , готов к переезду (Абхазия, Колумбия, Венесуэла, Чехия, Бельгия, Великобритания, США, Швеция, Греция, Германия, Дания, Турция, Израиль, Финляндия, Испания, Франция, Италия, Сингапур, Аргентина, Швейцария, Кипр, Канада, Исландия, Япония, Бангладеш,","частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день, сменный график","Санаторий ""Зелёный гай"" филиал АО ""РЖД-ЗДОРОВЬЕ""",Системный администратор (руководитель службы IT филиала),14.05.2019 22:15,Не указано,высшее,М,36,153.0,другие,True,False,True,True
311,45000 руб.,Менеджер проекта,"Санкт-Петербург , готов к переезду (Ярославль, Москва) , не готов к командировкам",полная занятость,полный день,ООО СТЦ,Инженер-проектировщик,22.04.2019 18:42,Не указано,высшее,М,28,56.0,Санкт-Петербург,True,False,True,True
423,120000 руб.,Руководитель,"Чебоксары , готов к переезду (Москва, Чебоксары) , не готов к командировкам",полная занятость,полный день,"ООО ""Миракс""",Директор,10.04.2019 14:50,Имеется собственный автомобиль,высшее,М,36,169.0,другие,True,False,True,True
556,50000 руб.,Системный администратор,"Новотроицк (Оренбургская область) , готов к переезду (Анапа, Москва, Ленинградская область, Санкт-Петербург, Московская область, Иркутская область, Геленджик, Другие страны, Адлер, Калининградская область, Сочи) , не готов к командировкам","частичная занятость, проектная работа",удаленная работа,vasexperts.ru,Технический писатель,12.04.2019 10:39,Не указано,неоконченное высшее,М,30,131.0,другие,True,False,True,True
738,30000 руб.,HTML-верстальщик,"Петропавловск-Камчатский , готов к переезду (Беларусь, Россия) , не готов к командировкам","стажировка, волонтерство, частичная занятость",удаленная работа,Концепт-центр Лаборатория,Веб-разработчик,06.04.2019 10:47,Не указано,среднее специальное,М,27,26.0,другие,True,False,True,True
886,40000 руб.,Специалист по IT,"Сургут , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график",УМВД РОССИИ ПО Г. Сургуту,Оператор ЭВМ,07.05.2019 13:47,Имеется собственный автомобиль,высшее,М,25,40.0,другие,True,False,True,True
901,200000 руб.,"""Руководитель проекта"", ""Лидер проекта"", ""Руководитель группы"", IoT, M2M","Москва ,  м. Белорусская , готов к переезду (Москва, Астраханская область, Санкт-Петербург, Екатеринбург, Калужская область, Московская область, Брянская область, Ставропольский край, Ярославская область, Смоленская область, Ленинградская область, Самарск","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Сбербанк-Телеком,Руководитель направления IoT,07.05.2019 10:55,Не указано,высшее,М,42,250.0,Москва,True,False,True,True
908,750000 KZT,Руководитель проектов. Инженер по ОТи ТБ. Инженер по ремонтные работам.,"Аксай (Казахстан) , готов к переезду (Узбекистан, Россия, Другие страны) , не готов к командировкам",полная занятость,"полный день, вахтовый метод, удаленная работа",Флагман,Прораб. Руководитель проекта.,06.04.2019 08:07,Имеется собственный автомобиль,высшее,М,39,243.0,другие,True,False,True,True
918,140000 KZT,Оператор,"Алматы , готова к переезду (Россия, Казахстан) , не готова к командировкам",полная занятость,"полный день, сменный график","TOO ""protau""",Продавец кассир,17.04.2019 11:11,Не указано,среднее специальное,Ж,22,14.0,другие,True,False,True,True
1034,60000 руб.,Менеджер по работе с клиентами,"Сочи , готова к переезду (Нидерланды, Венесуэла, Марокко, Австрия, Чехия, Польша, Новая Зеландия, Норвегия, Шри-Ланка, ОАЭ, Великобритания, Швеция, Греция, Германия, Грузия, Финляндия, Испания, Франция, Италия, Румыния, Аргентина, Швейцария, Кипр, Малайзи","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","ООО ""ДОМЕЙН""",Старший специалист управления по организационному развитию и делопроизводству,14.05.2019 09:46,Не указано,высшее,Ж,29,91.0,другие,True,False,True,True
1238,300000 руб.,"Business Analyst, Business Consultant, Project Manager","Москва ,  м. Щелковская , готов к переезду (Нидерланды, Австралия, Чехия, Польша, Новая Зеландия, Люксембург, Норвегия, Бельгия, Великобритания, США, Швеция, Греция, Германия, Дания, Ирландия, Финляндия, Испания, Франция, Италия, Сингапур, Румыния, Швейца",полная занятость,полный день,Сбербанк - Технологии (Россия),Аналитик,03.09.2018 21:39,Не указано,высшее,М,42,238.0,Москва,True,False,True,True
